name	logFC	ave_exp	P.Value_reg1__vs__NT	minus_log_pval	TFDatabase
ARHGAP21	-0.260652805	22.16797853	0.602384563	0.2201261661065242	absent
SRSF2	-0.261095444	28.8755614	0.246210505	0.6086934210789408	absent
SS18	-0.26132414	27.22541954	0.355352134	0.4493410721403899	absent
TEX10	-0.262042127	31.62354376	0.012617556	1.8990247590779685	absent
IPO7	-0.26227921	27.31870371	0.127048118	0.8960317638939636	absent
RPL35	-0.265180898	28.808028	0.202403933	0.6937810527828215	absent
BRCA2	-0.265441887	24.71813383	0.655413866	0.1834843748798173	absent
NCAPG2	-0.265757144	27.25640414	0.17839027	0.7486288371827001	absent
PRDX6	-0.265921319	23.95262752	0.764860196	0.11641793955797469	absent
KHSRP	-0.267347703	32.64906204	0.017512487	1.7566521740947691	absent
ANAPC1	-0.267684015	26.00524975	0.300437268	0.5222461958927324	absent
MFAP1	-0.268799204	25.64607969	0.433486634	0.36302428889027527	absent
CSDE1	-0.269850098	26.36800746	0.292547467	0.5338036578427351	absent
TFIP11	-0.270275238	29.01227063	0.066044589	1.1801627581206846	absent
HNRNPH3	-0.271521547	31.64417778	0.015655988	1.8053195202279155	absent
EIF4A1	-0.271698098	30.22451401	0.096618148	1.014941291431253	absent
ZMYM3	-0.273218345	27.48157815	0.23146402	0.6355165084468216	absent
STAG2	-0.274838113	29.28496254	0.067676482	1.169562225141867	absent
MAD2L1	-0.275156495	24.73384873	0.722086609	0.14141070886395865	absent
RAD50	-0.275643355	27.20812833	0.369566857	0.4323069835217852	absent
SF3B1	-0.276251329	32.64229765	0.038176693	1.4182016944351423	absent
DAZAP1	-0.277020916	30.61753811	0.032652115	1.4860886825947213	absent
SMARCAD1	-0.278364365	22.80552647	0.595249476	0.22530097823372291	absent
YTHDF3	-0.278717293	26.6409055	0.331012094	0.4801561383647291	absent
HAUS5	-0.279747471	22.57738474	0.592518306	0.2272982274748664	absent
NOL12	-0.281620233	25.78897194	0.4912454	0.30870150331162155	absent
VDAC3	-0.282854146	25.79984518	0.675348412	0.17047211698964362	absent
MYH9	-0.283477201	29.38486602	0.281436908	0.5506189492265605	absent
ZNF22	-0.286652687	24.33894537	0.690644952	0.1607451581467015	absent
GTF3C1	-0.287879679	30.66464073	0.030959907	1.5092003525578621	absent
RBM5	-0.287975612	27.41471352	0.228727521	0.6406815769789578	absent
SEC22B	-0.290577871	23.51443986	0.659133125	0.18102686216771716	absent
HNRNPK	-0.290693357	33.48729901	0.025518861	1.5931387136677246	absent
PYCR2	-0.291387267	26.49575136	0.160871748	0.7935202192013411	absent
SRSF4	-0.292006295	26.58568778	0.558736652	0.252792838861327	absent
RBM8A	-0.292746223	25.57348656	0.431171003	0.3653504538986387	absent
RAN	-0.293308968	28.82808037	0.19064293399999999	0.7197792868061413	absent
SF3A1	-0.29343254	28.676621	0.078110897	1.1072883748698759	absent
PURA	-0.293443106	23.40695492	0.58790996	0.23068918220520476	absent
VAPA	-0.293481413	27.85751784	0.197706806	0.7039783799662123	absent
SUN1	-0.29390309	29.98488316	0.042403298	1.372600363985103	absent
TRA2B	-0.294213314	29.74038481	0.025917871	1.5864006760625045	absent
RNF40	-0.294746898	23.07165627	0.653324878	0.18487080396783648	absent
TIA1	-0.294895138	28.63812733	0.083798579	1.0767633457813133	absent
SNRPA	-0.297073965	29.08079641	0.013158104	1.8808066853162753	absent
HNRNPA2B1	-0.297919066	35.35231737	0.018780037	1.726303556431995	absent
CENPU	-0.298520348	23.71439167	0.590643347	0.22867468356108853	absent
SEC24C	-0.299072205	26.27160143	0.151707901	0.8189918004173121	absent
PHF2	-0.299538694	26.0792525	0.438178445	0.35834899018883126	absent
CNOT3	-0.300534777	23.20675637	0.652502418	0.18541787460713507	absent
WHSC1L1	-0.302167261	22.76169975	0.620922886	0.206962332616024	absent
FAM76A	-0.303213115	22.6307881	0.558139078	0.2532575693743507	absent
RPA2	-0.304776523	26.55690248	0.295504824	0.5294354250382917	absent
EWSR1	-0.305325176	32.25632624	0.029571648	1.5291244719783572	absent
EXOC6B	-0.305799858	22.07176668	0.521539755	0.28271258135236077	absent
CORO1C	-0.306416582	27.27118408	0.351849265	0.4536433518606233	absent
CDK9	-0.306833792	24.97706012	0.329027634	0.48276762548551727	absent
YLPM1	-0.307138657	30.41117721	0.004551577	2.3418381058181588	absent
KRI1	-0.307402038	29.73512009	0.101108442	0.9952125816893805	absent
KPNB1	-0.307678501	30.3188394	0.020296673	1.6925751451487354	absent
ASUN	-0.310051074	23.47824366	0.531725742	0.27431231403614265	absent
SNRPE	-0.311973848	27.00070807	0.208900783	0.6800599321980445	absent
SURF6	-0.312426934	29.01942952	0.113703032	0.9442279542804942	absent
YARS	-0.313199495	24.15177145	0.610991023	0.2139651705924777	absent
CENPN	-0.313862769	23.69345256	0.416882121	0.37998673024560153	absent
PRPF38B	-0.314613365	29.28783138	0.092145656	1.0355251338002829	absent
PKN3	-0.315429426	23.62391298	0.465331352	0.33223768561009626	absent
PCF11	-0.316670383	26.42559555	0.290561681	0.5367616606076864	absent
ZC3H7B	-0.317394965	24.2870362	0.530358486	0.27543047782863833	absent
PPP1CB	-0.317514453	27.82325434	0.065260033	1.18535271093867	absent
PRPF31	-0.317606195	28.33529588	0.021866905	1.6602126818247593	absent
PHGDH	-0.318587504	28.45746517	0.046441881	1.333090198679869	absent
AP3D1	-0.319849683	27.2518212	0.132067391	0.8792044015905284	absent
SMARCC2	-0.321402424	24.93355402	0.28647086	0.542919548163731	absent
SRI	-0.321809569	26.71531159	0.127660479	0.893943530369424	absent
FAM208A	-0.321862049	28.62052016	0.03326217	1.4780494211332256	absent
ACTL6A	-0.324681019	24.69669836	0.315442471	0.5010798339012877	absent
GART	-0.325199993	23.64596083	0.51773585	0.28589176177472203	absent
VDAC2	-0.326052236	27.16496202	0.45898887	0.3381978455219744	absent
RNMT	-0.326404156	23.9876812	0.334897012	0.47508872728157514	absent
C3orf17	-0.32849136	28.28084979	0.057636463	1.239302678564411	absent
FANCD2	-0.329093193	26.46358915	0.067941014	1.1678679756979837	absent
PRKDC	-0.330448986	34.67256158	0.009037363	2.043958273243194	absent
FANCI	-0.33080277	27.08963538	0.097428846	1.0113124414386898	absent
SEC24B	-0.331898534	22.76264529	0.63960601	0.19408746409782707	absent
PHRF1	-0.33208731	26.22077838	0.294299083	0.5312110911068462	absent
SIN3A	-0.332785893	29.5942871	0.036120228	1.4422495169734444	absent
NAP1L1	-0.333280659	22.62295735	0.686205907	0.16354554776853256	absent
BAG4	-0.334603883	23.8451354	0.365883636	0.4366570137269038	absent
RPN2	-0.33463321	23.47772689	0.534784595	0.27182111151262106	absent
SPTBN1	-0.335234906	31.37351428	0.156113095	0.806560666138651	absent
CEP131	-0.335284517	23.86871758	0.550282801	0.25941406078055884	absent
IQSEC1	-0.336874591	22.04093639	0.594600016	0.22577508344471772	absent
OCRL	-0.338112705	22.20127204	0.535003578	0.2716433134919302	absent
SUGP2	-0.338526306	31.01505661	0.00777429	2.10933926315797	absent
CCAR1	-0.339140044	29.36132114	0.005140347	2.289007562892159	absent
ANKRD17	-0.339184992	23.27553232	0.550833135	0.2589799429343073	absent
IQGAP1	-0.339851676	28.40302149	0.088827695	1.0514516073019227	absent
CNOT1	-0.340011895	28.95372416	0.044831486	1.3484168656199476	absent
KMT2B	-0.341543178	24.07085226	0.628198824	0.20190288094418188	absent
CCDC59	-0.341691716	26.60621364	0.262086439	0.5815554499417409	absent
RBM10	-0.344598438	30.52180864	0.003294725	2.4821808287077993	absent
HUWE1	-0.345053381	24.76787783	0.642653204	0.1920233229066138	absent
